ID,Partner Name,,Region,Logo,FI Type
226,DTB Kenya,http://www.dtbafrica.com/,Sub-Saharan Africa,ifc_226.jpg,SME
733,Itau Unibanco,http://www.itau.com/,Latin America and the Caribbean,ifc_733.png,SME
919,Banco Galicia,,Latin America and the Caribbean,,SME
1848,LAAD,http://laadsa.com/,Latin America and the Caribbean,ifc_1848.gif,SME
2938,BNI,http://www.bni.com/,Sub-Saharan Africa,ifc_2938.jpg,SME
3381,Akbank,http://www.akbank.com/en/Pages/default.aspx,Europe and Central Asia,ifc_3381.jpg,SME
4172,Cmrcl Intl Bank,,Middle East and North Africa,,SME
4359,Oman Leasing,http://www.omanorix.com/default.aspx,Middle East and North Africa,,SME
4734,Fransabank,http://www.fransabank.com/English/Pages/Corporate-Homepage.aspx,Middle East and North Africa,ifc_4734.png,MFI
4738,BLOM,http://www.blombank.com/english/home,Middle East and North Africa,ifc_4738.gif,SME
4945,Byblos Bank,http://www.byblosbank.com/Global,Middle East and North Africa,ifc_4945.gif,SME
5023,Finans Leasing,http://www.finansleasing.com.tr/,Europe and Central Asia,ifc_5023.png,SME
5118,ORIX Leasing Pak,http://www.orixpakistan.com/,Middle East and North Africa,ifc_5118.png,SME
5832,UZBEK LEASING,http://www.uzbekleasing.com/,Europe and Central Asia,ifc_5832.jpg,SME
6075,Turk Ekon Bank,http://www.teb.com.tr/eng/,Europe and Central Asia,ifc_6075.png,SME
6580,"BANK MUSCAT,OMAN",http://www.bankmuscat.com/en-us/Pages/Default.aspx,Middle East and North Africa,ifc_6580.jpg,SME
7305,Banca Intesa Beo,http://www.bancaintesa.rs/code/navigate.aspx?Id=1,Europe and Central Asia,ifc_7305.png,SME
7523,SAUDI BRITISH,,Middle East and North Africa,,Non-MSME
50202,Orix Leasing EGT,http://www.orix-egypt.com/,Middle East and North Africa,ifc_5118.png,SME
50264,GBM,,Sub-Saharan Africa,,SME
50325,K-Rep Bank,,Sub-Saharan Africa,ifc_50325.gif,MFI
50356,Banco General S.,https://www.bgeneral.com/bgespanol/personal/index.asp,Latin America and the Caribbean,ifc_50356.png,Non-MSME
50427,ETI,,Sub-Saharan Africa,,SME
50504,Demir Kyrgyz Int,http://www.demirbank.kg/en/about/article/1-about-us/105-demir-bank-best-bank-2010.html,Europe and Central Asia,ifc_50504.gif,SME
50670,Yapi Kredi Lease,http://www.yapikredileasing.com.tr/english/,Europe and Central Asia,ifc_50670.png,SME
50901,DBH,,South Asia,,Non-MSME
50994,Cibrasec,http://www.cibrasec.com.br/,Latin America and the Caribbean,ifc_50994.png,Non-MSME
51053,IDFC,http://www.idfc.com/,South Asia,ifc_51053.png,Non-MSME
